,战士,萨满,盗贼,圣骑,猎人,德鲁伊,术士,法师,牧师,使用下限,使用上限
战士,0.5,0.5824,0.5828,0.5449,0.4274,0.4848,0.6474,0.4473,0.6151,0,1
萨满,0.4176,0.5,0.5049,0.587,0.482,0.4786,0.5402,0.5097,0.6189,0,1
盗贼,0.4172,0.4951,0.5,0.4751,0.4374,0.4335,0.4875,0.4554,0.5513,0,1
圣骑,0.4551,0.413,0.4249,0.5,0.4636,0.4558,0.557,0.4456,0.5031,0,1
猎人,0.5726,0.518,0.5626,0.5364,0.5,0.477,0.591,0.5915,0.6338,0,1
德鲁伊,0.5152,0.5214,0.5665,0.5442,0.523,0.5,0.4874,0.537,0.5331,0,1
术士,0.3426,0.4598,0.5125,0.443,0.409,0.5126,0.5,0.4866,0.5075,0,1
法师,0.5527,0.4903,0.5446,0.5544,0.4085,0.463,0.5134,0.5,0.5997,0,1
牧师,0.3849,0.3811,0.4487,0.4969,0.3662,0.4669,0.4925,0.4003,0.5,0,1
