,战士,萨满,盗贼,圣骑,猎人,德鲁伊,术士,法师,牧师
战士,1720,1720,1720,1720,1720,1720,1720,1720,1720
萨满,995,995,995,995,995,995,995,995,995
盗贼,1341,1341,1341,1341,1341,1341,1341,1341,1341
圣骑,572,572,572,572,572,572,572,572,572
猎人,2453,2453,2453,2453,2453,2453,2453,2453,2453
德鲁伊,684,684,684,684,684,684,684,684,684
术士,470,470,470,470,470,470,470,470,470
法师,1303,1303,1303,1303,1303,1303,1303,1303,1303
牧师,461,461,461,461,461,461,461,461,461
